1084,-1,"10% CET1 threshold",,1003,"_NA","Not applicable"
1086,-1,"17.65% CET1 threshold",,1003,"_NA","Not applicable"
1088,0,"Accounting consolidation",,1003,"_NA","Not applicable"
1089,0,"Accounting standard",,540,"AS","Accounting standard"
1090,0,"Accounting treatment of the securitisation",,600,"ZZ","Code Lists"
1091,-1,"Accumulated changes in fair value due to credit risk",,1003,"_NA","Not applicable"
1092,-1,"Accumulated impairment","Cumulative amount of impairment related to financial assets. Details for each portfolio in Annex V, Part 2.",1003,"_NA","Not applicable"
1093,-1,"Accumulated write-offs",,1003,"_NA","Not applicable"
1094,-1,"Acquisition cost",,1003,"_NA","Not applicable"
1095,-1,"Actuarial gains and losses (flow)",,1003,"_NA","Not applicable"
1096,-1,"Actuarial gains or losses from changes in demographic assumptions (flow)",,1003,"_NA","Not applicable"
1097,-1,"Actuarial gains or losses from changes in financial assumptions (flow)",,1003,"_NA","Not applicable"
1099,-1,"Additions (flow)",,1003,"_NA","Not applicable"
1100,-1,"Additions, including increases in existing provisions (flow)",,1003,"_NA","Not applicable"
1101,-1,"Adjusted stressed VaR",,1003,"_NA","Not applicable"
1102,-1,"Adjusted VaR",,1003,"_NA","Not applicable"
1105,-1,"Adjustment to the risk-weighted exposure amount due to maturity mismatches",,1003,"_NA","Not applicable"
1106,-1,"Adjustment to Value used for market risk, net, weighted after cap due to infringement of the due diligence provisions",,1003,"_NA","Not applicable"
1108,-1,"After transitional provisions",,1003,"_NA","Not applicable"
1109,-1,"All changes in Defined benefit obligations (flow)",,1003,"_NA","Not applicable"
1111,-1,"All changes in Provisions (flow)",,1003,"_NA","Not applicable"
1112,-1,"All price risk capital charge for CTP",,1003,"_NA","Not applicable"
1113,-1,"All price risk capital charge for CTP Floor",,1003,"_NA","Not applicable"
1114,-1,"All price risk charge for CTP 12 weeks average",,1003,"_NA","Not applicable"
1115,-1,"All price risk charge for CTP last measure",,1003,"_NA","Not applicable"
1116,-1,"All Reclassifications (flow)",,1003,"_NA","Not applicable"
1118,-1,"Alleviation of own funds requirements due to diversification",,1003,"_NA","Not applicable"
1119,-1,"Alleviation of own funds requirements due to risk mitigation techniques",,1003,"_NA","Not applicable"
1120,-1,"Alleviation of own funds requirements due to the expected loss captured in business practices",,1003,"_NA","Not applicable"
1121,-1,"Amount assigned to direct credit substitutes",,1003,"_NA","Not applicable"
1122,-1,"Amount assigned to eligible liquidity facilities",,1003,"_NA","Not applicable"
1123,-1,"Amount assigned to IRS / CRS",,1003,"_NA","Not applicable"
1124,-1,"Amount assigned to other off-balance sheet items",,1003,"_NA","Not applicable"
1126,-1,"Amount contractually required to pay at maturity",,1003,"_NA","Not applicable"
1127,-1,"Amount of Assets involved in the services provided by the institution",,1003,"_NA","Not applicable"
1129,-1,"Amount of changes in fair value attributable to changes in credit risk (flow)",,1003,"_NA","Not applicable"
1130,-1,"Amount of cumulative change in fair values attributable to changes in credit risk",,1003,"_NA","Not applicable"
1132,-1,"Amount of gains (flow)",,1003,"_NA","Not applicable"
1135,-1,"Amount of losses (flow)",,1003,"_NA","Not applicable"
1140,-1,"Amount that exceeds the limit for grandfathering of instruments not constituting State aid",,1003,"_NA","Not applicable"
1141,-1,"Amount that exceeds the limits for grandfathering",,1003,"_NA","Not applicable"
1152,-1,"Amount used for LGD adjustment",,1003,"_NA","Not applicable"
1153,-1,"Amounts derecognised for capital purposes",,1003,"_NA","Not applicable"
1154,-1,"Amounts exempted from the LE regime",,1003,"_NA","Not applicable"
1155,-1,"Amounts not recognised as an asset, due to limits of paragraph 58 (b)",,1003,"_NA","Not applicable"
1156,-1,"Amounts used (flow)",,1003,"_NA","Not applicable"
1158,-1,"Applicable limit for institutions",,1003,"_NA","Not applicable"
1159,-1,"Applicable percentage limit for institutions",,1003,"_NA","Not applicable"
1160,-1,"Applicable limit for non institutions",,1003,"_NA","Not applicable"
1161,0,"Approach used for the securitised exposures",,130,"AP","Approach"
1162,-1,"ASA modified nominal amount",,1003,"_NA","Not applicable"
1163,-1,"Assumed charge for CTP floor - weighted positions after cap",,1003,"_NA","Not applicable"
1164,-1,"Average incremental default and migration risk capital charge",,1003,"_NA","Not applicable"
1165,-1,"Average risk weight",,1003,"_NA","Not applicable"
1166,-1,"Amount of accumulated impairment",,1003,"_NA","Not applicable"
1167,-1,"Base amount for calculating the limit",,1003,"_NA","Not applicable"
1168,-1,"Base for calculating the limit for grandfathering of instruments not constituting State aid",,1003,"_NA","Not applicable"
1169,-1,"Amount fully phased-in definition",,1003,"_NA","Not applicable"
1170,-1,"Benefits paid (flow)",,1003,"_NA","Not applicable"
1171,-1,"Business combinations or divestitures (flow)",,1003,"_NA","Not applicable"
1172,-1,"Capital buffer",,1003,"_NA","Not applicable"
1175,-1,"Capital Reduction (flow)",,1003,"_NA","Not applicable"
1177,-1,"Carrying amount","The amount to be reported in the balance sheet. The carrying amount of financial instruments shall include accrued interest. (Annex V, part 1)",1003,"_NA","Not applicable"
1178,-1,"Carrying amount (flow)",,1003,"_NA","Not applicable"
1179,-1,"Carrying amount [before restatement]",,1003,"_NA","Not applicable"
1181,-1,"Carrying amount of Collateral obtained",,1003,"_NA","Not applicable"
1182,-1,"Carrying amount of Collateral obtained during the period (flow)",,1003,"_NA","Not applicable"
