1000,"1250% for positions not subject to any method","x1",,"AP","Approach"
1006,"Advanced Measurement Approach","x2",,"AP","Approach"
1007,"Advanced method","x3",,"AP","Approach"
1008,"Alternative Standardised Approach","x4",,"AP","Approach"
1009,"Approach for general risk for equities","x5",,"AP","Approach"
1010,"Approach for specific risk for correlation trading portfolio","x6",,"AP","Approach"
1011,"Approach for specific risk for equities","x7",,"AP","Approach"
1012,"Approach for specific risk for non securitisation debt instruments","x8",,"AP","Approach"
1013,"Approach for specific risk for securitisation instruments","x9",,"AP","Approach"
1014,"Approaches for general risk for debt instruments","x10",,"AP","Approach"
1015,"Approaches for options","x11",,"AP","Approach"
1016,"Basic Indicator Approach","x12",,"AP","Approach"
1020,"Risk weighted exposure amounts calculated using PD, LGD and M","x15",,"AP","Approach"
1022,"Alternative treatment for exposures secured by real estate","x16",,"AP","Approach"
1024,"Risk weighted exposure amounts calculated using RW, other","x17",,"AP","Approach"
1027,"Ratings Based Method","x18",,"AP","Approach"
1028,"Supervisory formula method","x19",,"AP","Approach"
1029,"Specialized lending slotting criteria","x20",,"AP","Approach"
1036,"Duration-based approach","x22",,"AP","Approach"
1037,"Extended maturity ladder approach","x23",,"AP","Approach"
1038,"External rating not available","x24",,"AP","Approach"
1040,"Internal Assessment Approach (IAA)","x25",,"AP","Approach"
1041,"Internal models approach for market risk","x26",,"AP","Approach"
1042,"IRB Approach","x27",,"AP","Approach"
1044,"IRB approach - Securitisation exposures","x28",,"AP","Approach"
1045,"Risk weighted exposure amounts calculated using RW","x29",,"AP","Approach"
1046,"Look-Through-Approach","x30",,"AP","Approach"
1050,"Maturity ladder approach","x31",,"AP","Approach"
1051,"Maturity-based approach","x32",,"AP","Approach"
1052,"Internal models approach","x33",,"AP","Approach"
1053,"PD/LGD approach","x34",,"AP","Approach"
1054,"Simple Risk Weight approach","x35",,"AP","Approach"
1055,"Methods to calculate risk weights do not apply","x36",,"AP","Approach"
1056,"Methods using external ratings","x37",,"AP","Approach"
1061,"Original Exposure Method","x38",,"AP","Approach"
1062,"Particular approach for CIUs reported as debt instruments","x39",,"AP","Approach"
1063,"Particular approach for CIUs reported as equity","x40",,"AP","Approach"
1066,"Simplified approach","x41",,"AP","Approach"
1068,"Standardised Approach","x42",,"AP","Approach"
1071,"Standardised approach for equity risk","x43",,"AP","Approach"
1072,"Standardised approach for foreign-exchange risk","x44",,"AP","Approach"
1073,"Standardised Approach, IRB Approach","x45",,"AP","Approach"
1074,"Standardised approaches for commodities risk","x46",,"AP","Approach"
1075,"Standardised approaches for interest rate risk","x47",,"AP","Approach"
1076,"Standardised approaches for market risk","x48",,"AP","Approach"
1078,"Standardised Method","x49",,"AP","Approach"
1084,"10% CET1 threshold","mi1",,"_PR","Properties"
1086,"17.65% CET1 threshold","mi2",,"_PR","Properties"
1088,"Accounting consolidation","si3",,"_PR","Properties"
1089,"Accounting standard","ei4",,"_PR","Properties"
1090,"Accounting treatment of the securitisation","ei5",,"_PR","Properties"
1091,"Accumulated changes in fair value due to credit risk","mi6",,"_PR","Properties"
1092,"Accumulated impairment","mi7",,"_PR","Properties"
1093,"Accumulated write-offs","mi8",,"_PR","Properties"
1094,"Acquisition cost","mi9",,"_PR","Properties"
1095,"Actuarial gains and losses (flow)","md10",,"_PR","Properties"
1096,"Actuarial gains or losses from changes in demographic assumptions (flow)","md11",,"_PR","Properties"
1097,"Actuarial gains or losses from changes in financial assumptions (flow)","md12",,"_PR","Properties"
1099,"Additions (flow)","md13",,"_PR","Properties"
1100,"Additions, including increases in existing provisions (flow)","md14",,"_PR","Properties"
1101,"Adjusted stressed VaR","mi15",,"_PR","Properties"
1102,"Adjusted VaR","mi16",,"_PR","Properties"
1105,"Adjustment to the risk-weighted exposure amount due to maturity mismatches","mi17",,"_PR","Properties"
1106,"Adjustment to Value used for market risk, net, weighted after cap due to infringement of the due diligence provisions","mi18",,"_PR","Properties"
1108,"After transitional provisions","mi19",,"_PR","Properties"
1109,"All changes in Defined benefit obligations (flow)","md20",,"_PR","Properties"
1111,"All changes in Provisions (flow)","md21",,"_PR","Properties"
1112,"All price risk capital charge for CTP","mi22",,"_PR","Properties"
1113,"All price risk capital charge for CTP Floor","mi23",,"_PR","Properties"
1114,"All price risk charge for CTP 12 weeks average","mi24",,"_PR","Properties"
1115,"All price risk charge for CTP last measure","mi25",,"_PR","Properties"
1116,"All Reclassifications (flow)","md26",,"_PR","Properties"
1118,"Alleviation of own funds requirements due to diversification","mi27",,"_PR","Properties"
1119,"Alleviation of own funds requirements due to risk mitigation techniques","mi28",,"_PR","Properties"
1120,"Alleviation of own funds requirements due to the expected loss captured in business practices","mi29",,"_PR","Properties"
1121,"Amount assigned to direct credit substitutes","mi30",,"_PR","Properties"
1122,"Amount assigned to eligible liquidity facilities","mi31",,"_PR","Properties"
1123,"Amount assigned to IRS / CRS","mi32",,"_PR","Properties"
1124,"Amount assigned to other off-balance sheet items","mi33",,"_PR","Properties"
1126,"Amount contractually required to pay at maturity","mi34",,"_PR","Properties"
1127,"Amount of Assets involved in the services provided by the institution","mi35",,"_PR","Properties"
1129,"Amount of changes in fair value attributable to changes in credit risk (flow)","md36",,"_PR","Properties"
1130,"Amount of cumulative change in fair values attributable to changes in credit risk","mi37",,"_PR","Properties"
1132,"Amount of gains (flow)","md38",,"_PR","Properties"
1135,"Amount of losses (flow)","md39",,"_PR","Properties"
1140,"Amount that exceeds the limit for grandfathering of instruments not constituting State aid","mi40",,"_PR","Properties"
1141,"Amount that exceeds the limits for grandfathering","mi41",,"_PR","Properties"
1152,"Amount used for LGD adjustment","mi42",,"_PR","Properties"
1153,"Amounts derecognised for capital purposes","mi43",,"_PR","Properties"
1154,"Amounts exempted from the LE regime","mi44",,"_PR","Properties"
1155,"Amounts not recognised as an asset, due to limits of paragraph 58 (b)","mi45",,"_PR","Properties"
1156,"Amounts used (flow)","md46",,"_PR","Properties"
1158,"Applicable limit for institutions","mi47",,"_PR","Properties"
1159,"Applicable percentage limit for institutions","pi48",,"_PR","Properties"
1160,"Applicable limit for non institutions","mi49",,"_PR","Properties"
1161,"Approach used for the securitised exposures","ei50",,"_PR","Properties"
1162,"ASA modified nominal amount","mi51",,"_PR","Properties"
1163,"Assumed charge for CTP floor - weighted positions after cap","mi52",,"_PR","Properties"
1164,"Average incremental default and migration risk capital charge","mi63",,"_PR","Properties"
1165,"Average risk weight","pi54",,"_PR","Properties"
1166,"Amount of accumulated impairment","mi159",,"_PR","Properties"
1167,"Base amount for calculating the limit","mi56",,"_PR","Properties"
1168,"Base for calculating the limit for grandfathering of instruments not constituting State aid","mi57",,"_PR","Properties"
1169,"Amount fully phased-in definition","mi58",,"_PR","Properties"
1170,"Benefits paid (flow)","md59",,"_PR","Properties"
1171,"Business combinations or divestitures (flow)","md60",,"_PR","Properties"
1172,"Capital buffer","pi61",,"_PR","Properties"
1174,"Capital ratio","x1",,"MC","Main category"
1175,"Capital Reduction (flow)","md62",,"_PR","Properties"
1177,"Carrying amount","mi53",,"_PR","Properties"
1178,"Carrying amount (flow)","md64",,"_PR","Properties"
1179,"Carrying amount [before restatement]","mi65",,"_PR","Properties"
1180,"Hedging instrument","x730",,"MC","Main category"
1181,"Carrying amount of Collateral obtained","mi66",,"_PR","Properties"
1182,"Carrying amount of Collateral obtained during the period (flow)","md67",,"_PR","Properties"
1183,"Hedged item","x731",,"MC","Main category"
1186,"Changes in allowances for credit losses other than Decreases due to amounts taken against allowances, Transfers between allowances, and Increases due to amounts set aside or decreases due to amounts reversed for estimated loan losses, (flow)","md68",,"_PR","Properties"
1187,"Changes in Defined benefit obligations other than Current and past service cost, Interest cost, Contributions paid by plan participants, Actuarial gains and losses, Foreign currency translation, Benefits paid, Business combinations or divestiture (flow)","md69",,"_PR","Properties"
1188,"Changes in Equity from business combinations (flow)","md70",,"_PR","Properties"
